,StLucia_Lake,Biodiversity,Aquatic_macro,Terrestrial_macro,Aquatic_birds,Freshwater_fauna,Marine_fish,Aquatic_flora,Wetlands,uMfolozi,StLucia_Mouth,Invasive_species,Forestry,Water_fresh,Water_marine,Commercial_farming,Subsistence_farming,Tourism_fishing,Tourism_other,Employment_tourism,Employment_other,Fishing_subsistence,Community_acceptance_rural,Community_acceptance_farming,Community_acceptance_town,CC_drought,CC_floods,CC_resilience
StLucia_Lake,,,,,,,,,,,,,,,,,,3,4,,,,2,,3,,,
Biodiversity,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,3
Aquatic_macro,,2,,,,1,-1,-2,,,,-1,,,,,-2,,2,,,-2,-1,,,,,
Terrestrial_macro,,2,,,,,,,-1,,,,,,,,-2,,3,,,,-2,-1,,,,
Aquatic_birds,,1,,,,-2,-2,-1,,,,,,,,,,,1,,,,1,,1,,,
Freshwater_fauna,,3,1,,3,,,-2,1,,,,,,,,,,,,,2,,,,,,
Marine_fish,,1,1,,2,-2,,,,,,,,,,,,3,1,,,,,,,,,
Aquatic_flora,,2,3,,2,3,1,,2,,,,,,,,,,,,,,,,,,,
Wetlands,,,2,1,3,1,,2,,1,,-1,,3,,,1,,,,,,,,,,,3
uMfolozi,,,,,,,,,2,,4,,,4,-2,,,,,,,1,,-2,,,,2
StLucia_Mouth,,,1,,,-2,2,2,,,,-2,,-1,3,-3,,-2,,,,1,,-2,-1,,,2
Invasive_species,,,,-2,-1,-3,-1,-2,-2,,-1,,,-1,,,,,-2,,,1,-1,,-1,,,-2
Forestry,,,,-2,-2,,,,-3,-1,,2,,-3,,,2,,-2,,2,,,,,,,-2
Water_fresh,2,,3,2,2,3,-2,3,3,,2,2,,,-2,2,3,,,,,,,,2,,,3
Water_marine,2,,1,,1,-2,3,2,,,,-2,,-2,,-2,,,,,,,,-2,2,,,3
Commercial_farming,-2,,,,,,,,-3,-3,-2,2,,-2,,,,,,,2,,,4,2,,,-3
Subsistence_farming,-1,,,-1,-1,,,-1,-2,,,1,-2,-2,,,,,-2,,3,,3,,,,,-1
Tourism_fishing,,-1,,,,-1,-2,,,,,1,,,,,,,2,2,1,-1,,,1,,,
Tourism_other,,,,,,,,,,,,,,,,,,2,,4,3,,,,1,,,
Employment_tourism,,,,,,,,,,,,,,,,,-2,,,,3,-2,3,,3,,,
Employment_other,,,,,,,,,,,,,,,,,-2,,,,,-2,4,1,3,,,
Fishing_subsistence,-1,,,,,-3,-1,,,,,,,,,,,-1,,,,,2,,,,,
Community_acceptance_rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community_acceptance_farming,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community_acceptance_town,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
CC_drought,,,-3,-3,,,,,-4,-3,-4,1,-2,-4,,-3,-4,,-3,,,,,,,,,
CC_floods,,,-2,-2,,,-2,2,3,3,3,-2,-2,4,,-2,-3,-1,-1,,,-2,,,,,,
CC_resilience,,,,,,,,,,,,,,,,,,,,,,,,,,-3,-2,
