Increase,Node
0,StLucia_Lake
0,Biodiversity
2,Aquatic_macro
4,Terrestrial_macro
0,Aquatic_birds
0,Freshwater_fauna
0,Marine_fish
3,Aquatic_flora
4,Wetlands
4,uMfolozi
3,StLucia_Mouth
-3,Invasive_species
-4,Forestry
3,Water_fresh
2,Water_marine
-4,Commercial_farming
-2,Subsistence_farming
-2,Tourism_fishing
0,Tourism_other
0,Employment_tourism
3,Employment_other
0,Fishing_subsistence
0,Community_acceptance_rural
0,Community_acceptance_farming
0,Community_acceptance_town
0,CC_drought
0,CC_floods
4,CC_resilience
